Datetime,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
2015-01-01,,2015-01-01,,,0.92,18.22,17.15,,0.92,27.64,133.36,0.0,0.02,0.0,,
2015-01-01,,2015-01-01,,,16.3,15.39,22.68,4.59,1.17,9.2,11.35,0.17,,,,
2015-01-01,,2015-01-01,313.22,607.98,69.16,36.39,110.59,33.85,15.2,9.25,41.68,14.36,24.86,9.84,472.0,
2015-01-01,,2015-01-01,,,2.11,13.46,4.57,,12.15,169.57,25.92,1.35,3.93,,,
2015-01-01,,2015-01-01,,,,,27.38,,0.0,,,0.0,0.0,0.0,,
2015-01-01,,2015-01-01,,,3.26,17.33,10.88,20.36,0.33,3.54,10.73,0.56,4.64,,,
2015-01-02,,2015-01-02,,,10.45,32.65,43.1,,0.58,5.06,23.39,0.83,7.44,1.62,,
2015-01-02,,2015-01-02,211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,6.65,15.45,3.36,358.0,
2015-01-02,,2015-01-02,,,21.43,26.05,12.53,4.2,0.71,7.76,42.61,,11.39,,,
2015-01-02,,2015-01-02,,,2.99,22.14,13.01,7.48,0.36,7.36,20.75,12.01,2.2,,,
2015-01-02,,2015-01-02,,,,,27.25,,0.0,,,0.0,0.0,0.0,,
2015-01-02,,2015-01-02,135.99,,43.48,42.08,84.57,,43.48,75.23,102.7,0.4,0.04,25.87,782.0,
2015-01-02,,2015-01-02,,,7.43,20.19,4.3,,13.58,70.12,33.27,2.55,3.59,,,
2015-01-03,,2015-01-03,,,2.52,10.39,10.91,15.23,0.48,6.93,51.37,,0.48,,,
2015-01-03,,2015-01-03,61.12,,3.58,16.81,20.92,,3.58,28.44,30.48,2.69,1.58,1.32,,
2015-01-03,,2015-01-03,,,3.92,10.93,14.84,,0.32,4.25,27.31,0.88,5.94,1.21,,
2015-01-03,,2015-01-03,71.83,98.89,8.49,21.42,19.55,12.44,11.62,10.99,22.51,1.38,4.63,2.6,324.0,
2015-01-03,,2015-01-03,,,,,24.76,,0.0,,,0.0,0.0,0.0,,
2015-01-03,,2015-01-03,,,8.16,11.38,11.91,14.42,1.15,5.8,52.44,,5.74,,,
2015-01-03,,2015-01-03,,,7.85,16.82,4.39,,10.28,124.96,15.09,2.25,3.25,,,
2015-01-04,,2015-01-04,96.04,,3.8,20.07,23.46,,3.8,62.42,46.61,7.54,13.44,1.65,324.0,
2015-01-04,,2015-01-04,36.42,,2.68,8.83,9.13,31.37,9.6,3.17,48.25,0.14,8.16,,151.0,
2015-01-04,,2015-01-04,103.75,,42.23,36.98,14.4,10.04,1.33,4.65,27.54,,7.37,,289.0,
2015-01-04,,2015-01-04,40.62,,8.41,13.18,21.59,,0.81,7.89,34.19,0.55,3.57,0.88,112.0,
2015-01-04,,2015-01-04,60.06,,10.92,22.11,4.77,,2.17,12.14,27.28,2.56,3.66,,124.0,
2015-01-04,,2015-01-04,,,,,149.29,,0.0,,,0.0,0.0,0.0,,
2015-01-04,,2015-01-04,112.86,167.6,24.6,32.71,45.12,36.05,10.15,19.48,38.45,4.04,9.07,2.42,309.0,
2015-01-05,,2015-01-05,96.65,,4.67,15.9,20.53,,4.67,39.41,11.83,0.01,0.0,3.11,240.0,
2015-01-05,,2015-01-05,76.1,192.81,13.14,42.99,52.01,26.55,7.63,13.1,53.16,2.02,9.5,2.21,279.0,
2015-01-05,,2015-01-05,,,,,29.45,,0.0,,,0.0,0.0,0.0,,
2015-01-05,,2015-01-05,51.62,,16.04,19.39,8.77,16.77,10.29,3.44,,2.91,0.1,,108.0,
2015-01-05,,2015-01-05,89.62,,40.11,29.62,69.42,,1.41,13.38,38.94,,,,206.0,
2015-01-05,,2015-01-05,39.06,,3.45,14.31,12.05,6.09,1.59,4.96,26.93,35.9,11.32,,67.0,
