City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2019-05-15,0.04305123776626368,0.14427015096254853,15.08,0.3069239091236928,58.72,,0.1622203098106713,0.8760144031815982,0.18710228154586372,16.44,85.54,14.19,0.19418181818181818,Poor
Ahmedabad,2019-05-16,0.03892918825561313,0.13708202023063393,14.67,0.28741435268662097,55.61,,0.15780981067125646,0.4904068361369377,0.2011873350923483,15.55,83.89,13.15,0.2298181818181818,Very Poor
Ahmedabad,2019-05-17,0.04066781807714451,0.15331137943651663,18.02,0.2798413270825821,58.41,,0.19384681583476765,0.5285107755145911,0.15124941797299396,15.88,83.83,13.34,0.24872727272727269,Very Poor
Ahmedabad,2019-05-18,0.03909038572251008,0.1630371917897147,13.27,0.2712585647313379,51.83,,0.14274956970740105,0.4764336002579673,0.16378239950333695,15.93,82.73,13.44,0.2509090909090909,Very Poor
Ahmedabad,2019-05-19,0.03860679332181923,0.131664365048452,34.56,0.24843130183916337,69.77,,0.37177280550774533,0.43472886548073303,0.14333385069067206,15.53,84.17,13.19,0.3876363636363636,Severe
Ahmedabad,2019-05-20,0.04853195164075994,0.13983215891788534,17.47,0.29509556437071766,59.84,,0.18793029259896732,0.48132423281560693,0.18108800248331522,15.98,83.87,13.6,0.5810909090909091,Severe
Ahmedabad,2019-05-21,0.028140472078295915,0.12239887633818441,11.03,0.29293184276956363,52.21,,0.11865318416523236,0.4338689740420271,0.1809715970821046,15.31,82.95,11.66,0.22327272727272726,Very Poor
Ahmedabad,2019-05-22,0.03197466896948763,0.12171429245895446,11.44,0.2767399927875947,50.49,,0.12306368330464716,0.4647175794056,0.2108101815924259,15.6,84.17,13.6,0.18618181818181817,Poor
Ahmedabad,2019-05-23,0.047472654001151415,0.15989754848152213,14.29,0.32127659574468087,59.76,,0.15372203098106713,0.5694093620680388,0.19280614620518394,16.33,83.95,13.48,0.22472727272727272,Very Poor
Ahmedabad,2019-05-24,0.0536902705814623,0.17447446384098766,14.31,0.33631446087270106,61.82,,0.15393717728055079,0.7041973450851828,0.21845413627192303,15.21,82.4,11.95,0.24,Very Poor
Ahmedabad,2019-05-25,0.059263097294185385,0.18506190762838895,17.96,0.3215650919581681,63.98,,0.19320137693631673,0.7212876874294619,0.1924957318019556,15.72,83.2,13.93,0.28363636363636363,Severe
Ahmedabad,2019-05-26,0.0725273459988486,0.20973053362133068,28.03,0.36087270104579877,80.78,,0.301527538726334,0.6579244370398236,0.1952118578302033,17.05,84.59,13.16,0.3956363636363636,Severe
Ahmedabad,2019-05-27,0.06598733448474382,0.1926041334702501,21.39,0.40631085467003253,79.36,,0.2300989672977625,0.7700865265760197,0.20246779450566504,16.47,84.11,13.58,0.30618181818181817,Severe
Ahmedabad,2019-05-28,0.05769717904432931,0.18466059983711622,21.02,0.371583122971511,74.24,,0.226118760757315,0.6370720696512064,0.19342697501164055,16.92,85.28,14.2,0.3098181818181818,Severe
Ahmedabad,2019-05-29,0.04819804260218769,0.16581093681762918,16.43,0.25784349080418323,53.58,,0.17674268502581758,0.44467136024076953,0.20343783951575353,16.99,85.25,13.8,0.2618181818181818,Very Poor
Ahmedabad,2019-05-30,0.05593552101324123,0.1811904677596402,19.89,0.3282005048683736,67.08,,0.21396299483648884,0.7422475412479174,0.20506751513270216,17.04,83.72,13.55,0.36436363636363633,Severe
Ahmedabad,2019-05-31,0.0533678756476684,0.16071196723439915,16.75,0.3078254597908403,60.74,,0.18018502581755597,0.782178749932821,0.1727456153965544,15.68,84.55,13.67,0.2516363636363636,Very Poor
Ahmedabad,2019-06-01,0.0551986183074266,0.16746338066404634,23.83,0.25495852866931124,61.67,,0.25634681583476765,0.7658945558123287,0.1560220394226292,15.5,84.08,12.18,0.32945454545454544,Severe
Ahmedabad,2019-06-02,0.047461139896373065,0.14131935837966075,21.8,0.2536602957086188,59.18,,0.23450946643717732,0.7241898210350942,0.16098866987428218,15.9,83.78,14.01,0.28218181818181814,Severe
Ahmedabad,2019-06-03,0.05331030512377664,0.1581860887834472,22.33,0.26794085827623515,61.71,,0.240210843373494,0.7406889880152631,0.1847741735216514,14.5,81.45,10.98,0.29454545454545455,Severe
Ahmedabad,2019-06-04,0.04550374208405297,0.13848659750008852,20.89,0.278074287774973,61.44,,0.2247203098106713,0.7486429838232922,0.2778596926897408,12.58,79.02,7.46,0.28654545454545455,Severe
Ahmedabad,2019-06-05,0.04388025331030514,0.13415483398840927,18.87,0.22261089073205914,51.63,,0.20299053356282276,0.602676412102972,0.3209684929380723,115.14,371.65,,0.28218181818181814,Severe
Ahmedabad,2019-06-06,0.04018422567645366,0.15034878368329732,12.63,0.24857554994590694,48.03,,0.1358648881239243,0.5435051324770247,0.29372962905478806,26.24,85.15,94.48,0.21018181818181816,Very Poor
Ahmedabad,2019-06-07,0.03443868739205527,0.1461586582155967,15.49,0.4430941218896502,78.85,,0.16663080895008608,0.17015101843392272,0.27269905323607013,,,,0.24727272727272726,Very Poor
Ahmedabad,2019-06-08,0.05593552101324123,0.1601926277398109,16.38,0.5568337540569779,94.0,,0.17620481927710843,0.3148814962111033,0.2869005121837653,7.29,80.04,2.05,0.25018181818181817,Very Poor
Ahmedabad,2019-06-09,0.04046056419113414,0.14233443102817414,15.2,0.5288135593220339,88.87,,0.16351118760757316,0.6858171655828451,0.3163898804904547,29.46,141.33,14.86,0.22545454545454544,Very Poor
Ahmedabad,2019-06-10,0.03932066781807715,0.13606694758212054,16.31,0.4580238009376127,80.56,,0.17545180722891568,0.6527113451926693,0.3118888716436442,26.9,256.09,56.49,0.2516363636363636,Very Poor
Ahmedabad,2019-06-11,0.03892918825561313,0.12677785253118987,15.38,0.48773891092679406,83.52,,0.165447504302926,0.5386144999193851,0.3503026540431476,7.91,123.47,49.93,0.2429090909090909,Very Poor
Ahmedabad,2019-06-12,0.04711571675302246,0.18430650472716972,12.8,0.5066354129102055,83.14,,0.1376936316695353,0.4902456064921803,0.3305525376377464,6.3,87.51,33.1,0.23199999999999998,Very Poor
Ahmedabad,2019-06-13,0.029245826137017848,0.09075457667929604,13.75,0.43559322033898307,74.61,,0.14791308089500863,0.3136454022679636,0.34448238398261677,6.3,80.04,1.48,0.22327272727272726,Very Poor
Ahmedabad,2019-06-14,0.030616004605641914,0.12150183539298655,14.4,0.40623873061666066,71.38,,0.15490533562822723,0.32745740850217653,0.302149619742356,6.3,80.04,1.48,0.23563636363636362,Very Poor
Ahmedabad,2019-06-15,0.03747841105354059,0.11408944442477248,18.89,0.42077172737107826,78.46,,0.2032056798623064,0.26151448379642067,0.2078224429613534,6.3,80.04,1.48,0.2581818181818182,Very Poor
Ahmedabad,2019-06-16,0.03757052389176742,0.12625851303660163,25.17,0.3738910926794086,79.28,,0.27076161790017217,0.1631644004944376,0.11811268042837186,6.3,80.04,1.48,0.27854545454545454,Very Poor
Ahmedabad,2019-06-17,0.03207829591249281,0.1232959172833823,25.92,0.41749008294266143,86.11,,0.278829604130809,0.2286236362659214,0.08160018624864193,6.3,80.04,1.48,0.2909090909090909,Severe
Ahmedabad,2019-06-18,0.030811744386873924,0.08559659124440824,22.25,0.47107825459790836,89.1,,0.2393502581755594,0.1391411834255925,0.09452118578302032,6.3,80.04,1.48,0.2538181818181818,Very Poor
Ahmedabad,2019-06-19,0.07970063327576281,0.20264863142240003,19.2,0.5255679769203029,92.99,,0.20654044750430295,0.2033643252539367,0.027937296290547878,6.3,80.04,1.48,0.2596363636363636,Very Poor
Ahmedabad,2019-06-20,0.048267127230857805,0.1480589686389764,30.2,0.5615218175261449,113.35,,0.32487091222030984,0.1786424463911431,0.1628123544932485,6.3,80.04,1.48,0.4007272727272727,Severe
Ahmedabad,2019-06-21,0.040886586067933224,0.12211560025022719,18.86,0.53166245943022,93.61,,0.2028829604130809,0.13580910410060731,0.29035387241968025,6.3,80.04,1.48,0.2429090909090909,Very Poor
Ahmedabad,2019-06-22,0.07245826137017848,0.17998654438582198,12.65,0.5897223223945185,110.17,,0.13608003442340794,0.1413446552372763,0.44206891199751663,6.3,80.04,1.48,0.12363636363636363,Moderate
Ahmedabad,2019-06-23,0.052930339666090974,0.12095888955773519,14.35,0.5284529390551749,87.86,,0.15436746987951808,0.21448917074219379,0.4192922551606394,6.3,80.04,1.48,0.22836363636363635,Very Poor
Ahmedabad,2019-06-24,0.06601036269430052,0.13601973490079433,21.05,1.0,162.63,,0.22644148020654048,0.2011071102273338,0.3936830668943038,6.3,80.04,1.48,0.3098181818181818,Severe
Ahmedabad,2019-06-25,0.056499712147380546,0.11535238365024844,19.38,0.6279841327082581,107.05,,0.20847676419965577,0.11264577847046808,0.3504578612447617,6.3,80.04,1.48,0.2887272727272727,Severe
Ahmedabad,2019-06-26,0.08044905008635579,0.16094803064103014,24.95,0.7701767039307609,136.58,,0.268395008605852,0.15547912076100392,0.20227378550364736,6.3,80.04,1.48,0.3309090909090909,Severe
Ahmedabad,2019-06-27,0.06893494530800232,0.12891422636120062,25.55,0.6355210962856113,117.3,,0.2748493975903615,0.1927231686999516,0.205416731336334,6.3,80.04,1.48,0.3069090909090909,Severe
Ahmedabad,2019-06-28,0.05672999424294762,0.12108872443138224,29.88,0.5936891453299674,114.39,,0.32142857142857145,0.236738861718708,0.12144963526307619,6.3,80.04,1.48,0.3658181818181818,Severe
Ahmedabad,2019-06-29,0.06847438111686817,0.13257320916398144,41.59,0.6637576631806708,141.36,,0.44739672977624795,0.20680389100876015,0.08264783485953747,6.3,80.04,1.48,0.4552727272727273,Severe
Ahmedabad,2019-06-30,0.06099021301093841,0.13823873092312594,29.06,0.3889289578074288,84.37,,0.31260757314974186,0.16348685978395228,0.16847741735216515,6.23,79.21,1.46,0.32799999999999996,Severe
Ahmedabad,2019-07-01,0.049579735175590105,0.1234139489866978,28.45,0.6063469166967184,117.79,,0.30604561101549055,0.2171763314881496,0.27122458482073564,6.23,79.21,1.46,0.34327272727272723,Severe
Ahmedabad,2019-07-02,0.05134139320667819,0.13533515102156438,24.72,0.43094121889650205,88.78,,0.26592082616179,0.25904229591014133,0.22819338817321125,6.3,80.04,1.48,0.3141818181818182,Severe
Ahmedabad,2019-07-03,0.05078871617731722,0.1138179715071468,24.13,0.4281283808150018,95.73,,0.2595740103270224,0.25323802869887674,0.19071084898339283,6.3,80.04,1.48,0.29963636363636365,Severe
Ahmedabad,2019-07-04,0.05481865284974094,0.1209824958983983,39.11,0.5193653083303281,114.85,,0.42071858864027545,0.2407158596227226,0.08443271767810026,6.3,80.04,1.48,0.3781818181818182,Severe
Ahmedabad,2019-07-05,0.05494530800230283,0.1377429977692008,37.12,0.38265416516408224,94.1,,0.39931153184165236,0.18922985973020903,0.09005897873661337,6.3,80.04,1.48,0.4334545454545454,Severe
Ahmedabad,2019-07-06,0.05474956822107082,0.11886972840905065,34.67,0.6167688424089434,122.97,,0.3729561101549054,0.21830493900145106,0.08160018624864193,6.3,80.04,1.48,0.3469090909090909,Severe
Ahmedabad,2019-07-07,0.03979274611398964,0.09500371799865442,26.15,0.5369635773530472,102.6,,0.28130378657487093,0.17654646100929758,0.19726835325159087,6.3,80.04,1.48,0.3178181818181818,Severe
Ahmedabad,2019-07-08,0.04355785837651124,0.1335174627905055,35.85,0.4078975838442121,96.06,,0.3856497418244407,0.1749879077766432,0.10616172590408195,6.3,80.04,1.48,0.36,Severe
